# Blockpost room-protocol capture, started 2026-08-23 14:26:01
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15077,6 ==== FIELDWATCH ON ====
15086,0 # net: TcpClient.Connected = True
15108,7 #   player.GPBAJMJILMA len=2 [0, 0]
17470,9 fw Controll.static GIPNIMALPEG          0.9469 -> 0.3674
17483,0 fw Controll.static NAKNALFCOIF            90.6 -> 90.45
17499,2 fw Controll.static GIPNIMALPEG          0.3674 -> 0.9328
17515,8 fw Controll.static MKFDGFOCKNO         17.1841 -> 17.2341
17515,8 fw Controll.static LEKCBKLAILO         17.2341 -> 17.2841
17515,8 fw Controll.static OFJKHAFJIMA          0.0052 -> 0.0014
17519,6 fw Controll.static GIPNIMALPEG          0.9328 -> 0.3425
17546,3 fw Controll.static GIPNIMALPEG          0.3425 -> 0.8728
17562,2 fw Controll.static MKFDGFOCKNO         17.2341 -> 17.2841
17562,2 fw Controll.static LEKCBKLAILO         17.2841 -> 17.3341
17562,2 fw Controll.static OFJKHAFJIMA          0.0014 -> 0.0094
17567,0 fw Controll.static GIPNIMALPEG          0.8728 -> 0.289
17588,2 fw Controll.static GIPNIMALPEG           0.289 -> 0.7133
17615,6 fw Controll.static GIPNIMALPEG          0.7133 -> 0.2614
17622,5 fw Controll.static MKFDGFOCKNO         17.2841 -> 17.3341
17622,5 fw Controll.static LEKCBKLAILO         17.3341 -> 17.3841
17627,6 fw Controll.static OFJKHAFJIMA          0.0094 -> 0.0063
17636,0 fw Controll.static GIPNIMALPEG          0.2614 -> 0.6696
17655,8 fw Controll.static GIPNIMALPEG          0.6696 -> 0.0649
17670,5 fw Controll.static MKFDGFOCKNO         17.3341 -> 17.3841
17670,5 fw Controll.static LEKCBKLAILO         17.3841 -> 17.4341
17670,5 fw Controll.static OFJKHAFJIMA          0.0063 -> 0.003
17683,5 fw Controll.static GIPNIMALPEG          0.0649 -> 0.6202
17705,6 fw Controll.static GIPNIMALPEG          0.6202 -> 0.0627
17705,6 fw Controll.static NAKNALFCOIF           90.45 -> 90.15
17705,6 fw Controll.static IGLCENGMMMJ           24.15 -> 23.7
17719,2 fw Controll.static MKFDGFOCKNO         17.3841 -> 17.4341
17719,2 fw Controll.static LEKCBKLAILO         17.4341 -> 17.4841
17729,4 fw Controll.static GIPNIMALPEG          0.0627 -> 0.5364
17750,1 fw Controll.static GIPNIMALPEG          0.5364 -> 0.9514
17766,3 fw Controll.static MKFDGFOCKNO         17.4341 -> 17.4841
17766,3 fw Controll.static LEKCBKLAILO         17.4841 -> 17.5341
17766,3 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0053
17770,7 fw Controll.static GIPNIMALPEG          0.9514 -> 0.3629
17784,2 fw Controll.static IGLCENGMMMJ            23.7 -> 23.55
