# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
19049,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,468 0 73,822 1,8 354,15 b1 i297655524
19102,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,45 0 73,994 1,8 354,15 b1 i297655576
19154,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,489 0 73,607 1,8 354 b1 i297655628
19201,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,469 0 73,779 1,8 353,25 b1 i297655675
19260,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,442 0 73,989 1,8 351,75 b1 i297655734
19306,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,406 0 74,221 1,8 349,35 b1 i297655781
19352,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,358 1 74,465 1,95 346,05 b1 i297655826
19404,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,239 1 74,965 2,4 343,5 b1 i297655878
19458,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,089 1 75,466 3,45 338,55 b1 i297655933
19472,3 tx hdr=0xF5 op=0x0F slot/15 : b2
19504,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 39,884 1 75,961 4,05 329,1 b1 i297655978
19553,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 39,605 1 76,413 4,05 314,7 b1 i297656027
19600,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 39,254 1 76,806 4,05 303,6 b1 i297656074
19652,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 38,852 1 77,149 4,2 299,4 b1 i297656126
19707,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 38,419 1 77,463 4,2 299,4 b1 i297656181
19725,4 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
19749,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 37,968 1 77,76 4,2 299,4 b1 i297656223
19806,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 37,505 1 78,046 4,2 299,4 b1 i297656280
19853,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 37,036 1 78,325 4,35 299,25 b1 i297656328
19906,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,559 0 78,595 5,7 297,75 b17 i297656381
19929,8 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
19957,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,321 0 78,73 6,9 293,25 b1 i297656431
20007,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,13 0 78,909 7,8 288,75 b5 i297656481
20056,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,957 0 79,111 8,85 283,2 b5 i297656531
20107,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,788 0 79,32 9,15 278,85 b5 i297656581
20132,3 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
